Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Logradouro Ocorrência Não Cadastrado;Logradouro Cruzamento;Logradouro Cruzamento Não Cadastrado;Número Logradouro;Bairro;Bairro Não Cadastrado;Complemento Endereço;Ponto de Referência;Município;Latitude;Longitude;Situação Arma;Tipo Arma;Data Fato;Horário Fato;Qtde  Armas de Fogo
2019-004911414-001;POLICIA MILITAR;141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;Y10001;CONSUMADO;FAZENDA;MARMELADA;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;ABAETE;-19,16700000;-45,55152800;APREENDIDO;PISTOLETE (CALIBRE DE ESPINGARDA);01/02/2019;07:08:25;4
2019-004912001-001;POLICIA MILITAR;141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;Y10001;CONSUMADO;RUA;PIO XII;BECO VILA MARIANA;PREENCHIMENTO OPCIONAL;;124.000;ZONA 02;;;;PAINEIRAS;-18,90606340;-45,53538480;APREENDIDO;REVOLVER;01/02/2019;06:30:00;1
2019-004912187-001;POLICIA MILITAR;141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;Y10001;CONSUMADO;RUA;LUIZ GONZAGA DE SOUZA;;PREENCHIMENTO OPCIONAL;;120;MARMELADA;;;;ABAETE;-19,16261880;-45,44556580;APREENDIDO;GARRUCHA;01/02/2019;06:00:00;2
2019-004912986-001;POLICIA MILITAR;141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;Y10001;CONSUMADO;RUA;ANTONIO PINTO DA FONSECA;;PREENCHIMENTO OPCIONAL;;210;ZONA 02;;;;PAINEIRAS;-18,90396610;-45,53714690;APREENDIDO;GARRUCHA;01/02/2019;06:35:00;1
2019-004912986-001;POLICIA MILITAR;141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;Y10001;CONSUMADO;RUA;ANTONIO PINTO DA FONSECA;;PREENCHIMENTO OPCIONAL;;210;ZONA 02;;;;PAINEIRAS;-18,90396610;-45,53714690;APREENDIDO;REVOLVER;01/02/2019;06:35:00;1
2019-004914894-001;POLICIA MILITAR;141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;Y10001;CONSUMADO;RUA;VALDEMAR JOSE FERNANDES;;PREENCHIMENTO OPCIONAL;;510;BERNARDO SOARES DE FARIA;;;;ABAETE;-19,17877200;-45,43579140;APREENDIDO;REVOLVER;01/02/2019;07:34:36;1
2019-004918667-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;7 CIA PM IND PE/7 RPM;I04033;CONSUMADO;AVENIDA;GUAJAJARAS;;PREENCHIMENTO OPCIONAL;;1441;JARDIM DOS CANDIDES;;;;DIVINOPOLIS;-20,13063840;-44,83843270;APREENDIDO;PISTOLA;01/02/2019;08:40:04;2
2019-004940877-001;POLICIA MILITAR;3 PEL/107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;E03012;CONSUMADO;AVENIDA;LAERTON PAULINELLI;;PREENCHIMENTO OPCIONAL;;1750;NOVO ORIENTE;;;;LUZ;-19,78740530;-45,67125810;APREENDIDO;PISTOLA;01/02/2019;11:00:00;1
2019-005030072-001;POLICIA MILITAR;141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;E99000;CONSUMADO;RUELA;BRUNO JOSE FONSECA;NOSSA SENHORA DO ROSARIO;PREENCHIMENTO OPCIONAL;;330.000;CENTRO;;;;CEDRO DO ABAETE;-19,14985380;-45,71382600;APREENDIDO;ESPINGARDA POLVEIRA;01/02/2019;20:06:00;1
2019-005033900-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;E03012;CONSUMADO;RUA;VALDELINO ALVES DE SOUZA;;PREENCHIMENTO OPCIONAL;;170;VARZEA DAS FLORES;;NUMERO CORRETO 171;;POMPEU;-19,23352560;-44,99641790;APREENDIDO;REVOLVER;01/02/2019;20:40:00;1
